# activity_index; type; from_event; to_event; lower_bound; upper_bound
4317; "change"; 286; 1237; 7; 126
4318; "change"; 286; 1257; 7; 126
4319; "change"; 286; 1441; 7; 126
4320; "change"; 286; 1461; 7; 126
4321; "change"; 286; 1563; 7; 126
4322; "change"; 286; 1585; 7; 126
4323; "change"; 286; 1607; 7; 126
4324; "change"; 286; 1625; 7; 126
4325; "change"; 286; 1651; 7; 126
4326; "change"; 286; 1689; 7; 126
4327; "change"; 286; 1715; 7; 126
4328; "change"; 286; 1915; 7; 126
4329; "change"; 286; 1933; 7; 126
4330; "change"; 286; 1947; 7; 126
4331; "change"; 286; 1949; 7; 126
4332; "change"; 286; 1951; 7; 126
4333; "change"; 286; 1963; 7; 126
4334; "change"; 286; 1975; 7; 126
4335; "change"; 286; 1985; 7; 126
4336; "change"; 286; 1995; 7; 126
4337; "change"; 286; 1997; 7; 126
4338; "change"; 286; 1999; 7; 126
4339; "change"; 286; 2009; 7; 126
4340; "change"; 286; 2019; 7; 126
4341; "change"; 286; 2027; 7; 126
4342; "change"; 286; 2061; 7; 126
4343; "change"; 286; 2095; 7; 126
4344; "change"; 286; 2101; 7; 126
4345; "change"; 286; 2107; 7; 126
4346; "change"; 286; 2113; 7; 126
4347; "change"; 286; 2119; 7; 126
4348; "change"; 286; 2129; 7; 126
4349; "change"; 286; 2139; 7; 126
4350; "change"; 286; 2143; 7; 126
4351; "change"; 286; 2159; 7; 126
4352; "change"; 286; 2175; 7; 126
4353; "change"; 286; 2183; 7; 126
4354; "change"; 286; 2187; 7; 126
4355; "change"; 286; 2191; 7; 126
4356; "change"; 286; 2193; 7; 126
4357; "change"; 286; 2195; 7; 126
4358; "change"; 286; 2197; 7; 126
4359; "change"; 288; 41; 7; 126
4360; "change"; 288; 49; 7; 126
4361; "change"; 288; 57; 7; 126
4362; "change"; 288; 65; 7; 126
4363; "change"; 288; 217; 7; 126
4364; "change"; 288; 235; 7; 126
4365; "change"; 288; 319; 7; 126
4366; "change"; 288; 351; 7; 126
4367; "change"; 288; 603; 7; 126
4368; "change"; 288; 625; 7; 126
4369; "change"; 288; 643; 7; 126
4370; "change"; 288; 651; 7; 126
4371; "change"; 288; 659; 7; 126
4372; "change"; 288; 667; 7; 126
4373; "change"; 288; 689; 7; 126
4374; "change"; 288; 721; 7; 126
4375; "change"; 288; 1107; 7; 126
4376; "change"; 288; 1133; 7; 126
4377; "change"; 288; 1151; 7; 126
4378; "change"; 288; 1177; 7; 126
4379; "change"; 288; 1215; 7; 126
4380; "change"; 288; 1237; 7; 126
4381; "change"; 288; 1257; 7; 126
4382; "change"; 288; 1441; 7; 126
4383; "change"; 288; 1461; 7; 126
4384; "change"; 288; 1563; 7; 126
4385; "change"; 288; 1585; 7; 126
4386; "change"; 288; 1607; 7; 126
4387; "change"; 288; 1625; 7; 126
4388; "change"; 288; 1651; 7; 126
4389; "change"; 288; 1689; 7; 126
4390; "change"; 288; 1715; 7; 126
4391; "change"; 288; 1915; 7; 126
4392; "change"; 288; 1933; 7; 126
4393; "change"; 288; 1947; 7; 126
4394; "change"; 288; 1949; 7; 126
4395; "change"; 288; 1951; 7; 126
4396; "change"; 288; 1963; 7; 126
4397; "change"; 288; 1975; 7; 126
4398; "change"; 288; 1985; 7; 126
4399; "change"; 288; 1995; 7; 126
4400; "change"; 288; 1997; 7; 126
4401; "change"; 288; 1999; 7; 126
4402; "change"; 288; 2009; 7; 126
4403; "change"; 288; 2019; 7; 126
4404; "change"; 288; 2027; 7; 126
4405; "change"; 288; 2061; 7; 126
4406; "change"; 288; 2095; 7; 126
4407; "change"; 288; 2101; 7; 126
4408; "change"; 288; 2107; 7; 126
4409; "change"; 288; 2113; 7; 126
4410; "change"; 288; 2119; 7; 126
4411; "change"; 288; 2129; 7; 126
4412; "change"; 288; 2139; 7; 126
4413; "change"; 288; 2143; 7; 126
4414; "change"; 288; 2159; 7; 126
4415; "change"; 288; 2175; 7; 126
4416; "change"; 288; 2183; 7; 126
4417; "change"; 288; 2187; 7; 126
4418; "change"; 288; 2191; 7; 126
4419; "change"; 288; 2193; 7; 126
4420; "change"; 288; 2195; 7; 126
4421; "change"; 288; 2197; 7; 126
4422; "change"; 290; 41; 7; 126
4423; "change"; 290; 49; 7; 126
4424; "change"; 290; 57; 7; 126
4425; "change"; 290; 65; 7; 126
4426; "change"; 290; 217; 7; 126
4427; "change"; 290; 235; 7; 126
4428; "change"; 290; 319; 7; 126
4429; "change"; 290; 351; 7; 126
4430; "change"; 290; 603; 7; 126
4431; "change"; 290; 625; 7; 126
4432; "change"; 290; 643; 7; 126
4433; "change"; 290; 651; 7; 126
4434; "change"; 290; 659; 7; 126
4435; "change"; 290; 667; 7; 126
4436; "change"; 290; 689; 7; 126
4437; "change"; 290; 721; 7; 126
4438; "change"; 290; 1107; 7; 126
4439; "change"; 290; 1133; 7; 126
4440; "change"; 290; 1151; 7; 126
4441; "change"; 290; 1177; 7; 126
4442; "change"; 290; 1215; 7; 126
4443; "change"; 290; 1237; 7; 126
4444; "change"; 290; 1257; 7; 126
4445; "change"; 290; 1441; 7; 126
4446; "change"; 290; 1461; 7; 126
4447; "change"; 290; 1563; 7; 126
4448; "change"; 290; 1585; 7; 126
4449; "change"; 290; 1607; 7; 126
4450; "change"; 290; 1625; 7; 126
4451; "change"; 290; 1651; 7; 126
4452; "change"; 290; 1689; 7; 126
4453; "change"; 290; 1715; 7; 126
4454; "change"; 290; 1915; 7; 126
4455; "change"; 290; 1933; 7; 126
4456; "change"; 290; 1947; 7; 126
4457; "change"; 290; 1949; 7; 126
4458; "change"; 290; 1951; 7; 126
4459; "change"; 290; 1963; 7; 126
4460; "change"; 290; 1975; 7; 126
4461; "change"; 290; 1985; 7; 126
4462; "change"; 290; 1995; 7; 126
4463; "change"; 290; 1997; 7; 126
4464; "change"; 290; 1999; 7; 126
4465; "change"; 290; 2009; 7; 126
4466; "change"; 290; 2019; 7; 126
4467; "change"; 290; 2027; 7; 126
4468; "change"; 290; 2061; 7; 126
4469; "change"; 290; 2095; 7; 126
4470; "change"; 290; 2101; 7; 126
4471; "change"; 290; 2107; 7; 126
4472; "change"; 290; 2113; 7; 126
4473; "change"; 290; 2119; 7; 126
4474; "change"; 290; 2129; 7; 126
4475; "change"; 290; 2139; 7; 126
4476; "change"; 290; 2143; 7; 126
4477; "change"; 290; 2159; 7; 126
4478; "change"; 290; 2175; 7; 126
4479; "change"; 290; 2183; 7; 126
4480; "change"; 290; 2187; 7; 126
4481; "change"; 290; 2191; 7; 126
4482; "change"; 290; 2193; 7; 126
4483; "change"; 290; 2195; 7; 126
4484; "change"; 290; 2197; 7; 126
4485; "change"; 292; 461; 3; 122
4486; "change"; 292; 465; 3; 122
4487; "change"; 292; 469; 3; 122
4488; "change"; 292; 473; 3; 122
4489; "change"; 294; 439; 4; 123
4490; "change"; 294; 449; 4; 123
4491; "change"; 294; 459; 4; 123
4492; "change"; 294; 463; 4; 123
4493; "change"; 294; 467; 4; 123
4494; "change"; 294; 471; 4; 123
4495; "change"; 294; 1099; 4; 123
4496; "change"; 294; 1125; 4; 123
4497; "change"; 294; 1301; 4; 123
4498; "change"; 294; 1317; 4; 123
4499; "change"; 294; 1633; 4; 123
4500; "change"; 294; 1659; 4; 123
4501; "change"; 294; 2153; 4; 123
4502; "change"; 294; 2169; 4; 123
4503; "change"; 296; 461; 3; 122
4504; "change"; 296; 465; 3; 122
4505; "change"; 296; 469; 3; 122
4506; "change"; 296; 473; 3; 122
4507; "change"; 298; 439; 4; 123
4508; "change"; 298; 449; 4; 123
4509; "change"; 298; 459; 4; 123
4510; "change"; 298; 463; 4; 123
4511; "change"; 298; 467; 4; 123
4512; "change"; 298; 471; 4; 123
4513; "change"; 298; 1099; 4; 123
4514; "change"; 298; 1125; 4; 123
4515; "change"; 298; 1301; 4; 123
4516; "change"; 298; 1317; 4; 123
4517; "change"; 298; 1633; 4; 123
4518; "change"; 298; 1659; 4; 123
4519; "change"; 298; 2153; 4; 123
4520; "change"; 298; 2169; 4; 123
4521; "change"; 300; 461; 3; 122
4522; "change"; 300; 465; 3; 122
4523; "change"; 300; 469; 3; 122
4524; "change"; 300; 473; 3; 122
4525; "change"; 302; 439; 4; 123
4526; "change"; 302; 449; 4; 123
4527; "change"; 302; 459; 4; 123
4528; "change"; 302; 463; 4; 123
4529; "change"; 302; 467; 4; 123
4530; "change"; 302; 471; 4; 123
4531; "change"; 302; 1099; 4; 123
4532; "change"; 302; 1125; 4; 123
4533; "change"; 302; 1301; 4; 123
4534; "change"; 302; 1317; 4; 123
4535; "change"; 302; 1633; 4; 123
4536; "change"; 302; 1659; 4; 123
4537; "change"; 302; 2153; 4; 123
4538; "change"; 302; 2169; 4; 123
4539; "change"; 304; 461; 3; 122
4540; "change"; 304; 465; 3; 122
4541; "change"; 304; 469; 3; 122
4542; "change"; 304; 473; 3; 122
4543; "change"; 306; 439; 4; 123
4544; "change"; 306; 449; 4; 123
4545; "change"; 306; 459; 4; 123
4546; "change"; 306; 463; 4; 123
4547; "change"; 306; 467; 4; 123
4548; "change"; 306; 471; 4; 123
4549; "change"; 306; 1099; 4; 123
4550; "change"; 306; 1125; 4; 123
4551; "change"; 306; 1301; 4; 123
4552; "change"; 306; 1317; 4; 123
4553; "change"; 306; 1633; 4; 123
4554; "change"; 306; 1659; 4; 123
4555; "change"; 306; 2153; 4; 123
4556; "change"; 306; 2169; 4; 123
4557; "change"; 308; 401; 3; 122
4558; "change"; 308; 411; 3; 122
4559; "change"; 308; 699; 3; 122
4560; "change"; 308; 731; 3; 122
4561; "change"; 308; 1539; 3; 122
4562; "change"; 308; 1549; 3; 122
4563; "change"; 310; 405; 2; 121
4564; "change"; 310; 415; 2; 121
4565; "change"; 310; 697; 2; 121
4566; "change"; 310; 729; 2; 121
4567; "change"; 310; 1535; 2; 121
4568; "change"; 310; 1545; 2; 121
4569; "change"; 312; 407; 3; 122
4570; "change"; 312; 417; 3; 122
4571; "change"; 312; 695; 3; 122
4572; "change"; 312; 727; 3; 122
4573; "change"; 312; 1533; 3; 122
4574; "change"; 312; 1543; 3; 122
4575; "change"; 314; 29; 5; 124
4576; "change"; 314; 73; 5; 124
4577; "change"; 314; 87; 5; 124
4578; "change"; 314; 101; 5; 124
4579; "change"; 314; 113; 5; 124
4580; "change"; 314; 125; 5; 124
4581; "change"; 314; 143; 5; 124
4582; "change"; 314; 157; 5; 124
4583; "change"; 314; 165; 5; 124
4584; "change"; 314; 421; 5; 124
4585; "change"; 314; 431; 5; 124
4586; "change"; 314; 493; 5; 124
4587; "change"; 314; 693; 5; 124
4588; "change"; 314; 725; 5; 124
4589; "change"; 314; 1103; 5; 124
4590; "change"; 314; 1129; 5; 124
4591; "change"; 314; 1203; 5; 124
4592; "change"; 314; 1309; 5; 124
4593; "change"; 314; 1325; 5; 124
4594; "change"; 314; 1341; 5; 124
4595; "change"; 314; 1355; 5; 124
4596; "change"; 314; 1531; 5; 124
4597; "change"; 314; 1541; 5; 124
4598; "change"; 314; 1629; 5; 124
4599; "change"; 314; 1655; 5; 124
4600; "change"; 314; 1871; 5; 124
4601; "change"; 314; 2007; 5; 124
4602; "change"; 314; 2017; 5; 124
4603; "change"; 314; 2145; 5; 124
4604; "change"; 314; 2161; 5; 124
4605; "change"; 316; 215; 3; 122
4606; "change"; 316; 233; 3; 122
4607; "change"; 316; 691; 3; 122
4608; "change"; 316; 723; 3; 122
4609; "change"; 316; 1917; 3; 122
4610; "change"; 316; 1935; 3; 122
4611; "change"; 318; 41; 7; 126
4612; "change"; 318; 49; 7; 126
4613; "change"; 318; 57; 7; 126
4614; "change"; 318; 65; 7; 126
4615; "change"; 318; 217; 7; 126
4616; "change"; 318; 235; 7; 126
4617; "change"; 318; 603; 7; 126
4618; "change"; 318; 625; 7; 126
4619; "change"; 318; 643; 7; 126
4620; "change"; 318; 651; 7; 126
4621; "change"; 318; 659; 7; 126
4622; "change"; 318; 667; 7; 126
4623; "change"; 318; 689; 7; 126
4624; "change"; 318; 721; 7; 126
4625; "change"; 318; 1107; 7; 126
4626; "change"; 318; 1133; 7; 126
4627; "change"; 318; 1151; 7; 126
4628; "change"; 318; 1177; 7; 126
4629; "change"; 318; 1215; 7; 126
4630; "change"; 318; 1237; 7; 126
4631; "change"; 318; 1257; 7; 126
4632; "change"; 318; 1441; 7; 126
4633; "change"; 318; 1461; 7; 126
4634; "change"; 318; 1563; 7; 126
4635; "change"; 318; 1585; 7; 126
4636; "change"; 318; 1607; 7; 126
4637; "change"; 318; 1625; 7; 126
4638; "change"; 318; 1651; 7; 126
4639; "change"; 318; 1689; 7; 126
4640; "change"; 318; 1715; 7; 126
4641; "change"; 318; 1915; 7; 126
4642; "change"; 318; 1933; 7; 126
4643; "change"; 318; 1947; 7; 126
4644; "change"; 318; 1949; 7; 126
4645; "change"; 318; 1951; 7; 126
4646; "change"; 318; 1963; 7; 126
4647; "change"; 318; 1975; 7; 126
4648; "change"; 318; 1985; 7; 126
4649; "change"; 318; 1995; 7; 126
4650; "change"; 318; 1997; 7; 126
4651; "change"; 318; 1999; 7; 126
4652; "change"; 318; 2009; 7; 126
4653; "change"; 318; 2019; 7; 126
4654; "change"; 318; 2027; 7; 126
4655; "change"; 318; 2061; 7; 126
4656; "change"; 318; 2095; 7; 126
4657; "change"; 318; 2101; 7; 126
4658; "change"; 318; 2107; 7; 126
4659; "change"; 318; 2113; 7; 126
4660; "change"; 318; 2119; 7; 126
4661; "change"; 318; 2129; 7; 126
4662; "change"; 318; 2139; 7; 126
4663; "change"; 318; 2143; 7; 126
4664; "change"; 318; 2159; 7; 126
4665; "change"; 318; 2175; 7; 126
4666; "change"; 318; 2183; 7; 126
4667; "change"; 318; 2187; 7; 126
4668; "change"; 318; 2191; 7; 126
4669; "change"; 318; 2193; 7; 126
4670; "change"; 318; 2195; 7; 126
4671; "change"; 318; 2197; 7; 126
4672; "change"; 320; 687; 3; 122
4673; "change"; 320; 719; 3; 122
4674; "change"; 320; 1239; 3; 122
4675; "change"; 320; 1259; 3; 122
4676; "change"; 320; 1439; 3; 122
4677; "change"; 320; 1459; 3; 122
4678; "change"; 322; 685; 3; 122
4679; "change"; 322; 717; 3; 122
4680; "change"; 324; 683; 3; 122
4681; "change"; 324; 715; 3; 122
4682; "change"; 324; 1485; 3; 122
4683; "change"; 324; 1511; 3; 122
4684; "change"; 324; 1737; 3; 122
4685; "change"; 324; 1763; 3; 122
4686; "change"; 326; 681; 2; 121
4687; "change"; 326; 713; 2; 121
4688; "change"; 328; 679; 3; 122
4689; "change"; 328; 711; 3; 122
4690; "change"; 330; 677; 2; 121
4691; "change"; 330; 709; 2; 121
4692; "change"; 332; 43; 3; 122
4693; "change"; 332; 51; 3; 122
4694; "change"; 332; 59; 3; 122
4695; "change"; 332; 67; 3; 122
4696; "change"; 332; 641; 3; 122
4697; "change"; 332; 649; 3; 122
4698; "change"; 332; 657; 3; 122
4699; "change"; 332; 665; 3; 122
4700; "change"; 332; 675; 3; 122
4701; "change"; 332; 707; 3; 122
4702; "change"; 332; 815; 3; 122
4703; "change"; 332; 849; 3; 122
4704; "change"; 332; 881; 3; 122
4705; "change"; 332; 887; 3; 122
4706; "change"; 332; 893; 3; 122
4707; "change"; 332; 899; 3; 122
4708; "change"; 332; 947; 3; 122
4709; "change"; 332; 2055; 3; 122
4710; "change"; 332; 2089; 3; 122
4711; "change"; 332; 2097; 3; 122
4712; "change"; 332; 2103; 3; 122
4713; "change"; 332; 2109; 3; 122
4714; "change"; 332; 2115; 3; 122
4715; "change"; 332; 2141; 3; 122
4716; "change"; 334; 673; 2; 121
4717; "change"; 334; 705; 2; 121
4718; "change"; 334; 813; 2; 121
4719; "change"; 334; 847; 2; 121
4720; "change"; 334; 2057; 2; 121
4721; "change"; 334; 2091; 2; 121
4722; "change"; 336; 45; 4; 123
4723; "change"; 336; 53; 4; 123
4724; "change"; 336; 61; 4; 123
4725; "change"; 336; 69; 4; 123
4726; "change"; 336; 639; 4; 123
4727; "change"; 336; 647; 4; 123
4728; "change"; 336; 655; 4; 123
4729; "change"; 336; 663; 4; 123
4730; "change"; 336; 671; 4; 123
4731; "change"; 336; 703; 4; 123
4732; "change"; 336; 811; 4; 123
4733; "change"; 336; 845; 4; 123
4734; "change"; 336; 879; 4; 123
4735; "change"; 336; 885; 4; 123
4736; "change"; 336; 891; 4; 123
4737; "change"; 336; 897; 4; 123
4738; "change"; 336; 2059; 4; 123
4739; "change"; 336; 2093; 4; 123
4740; "change"; 336; 2099; 4; 123
4741; "change"; 336; 2105; 4; 123
4742; "change"; 336; 2111; 4; 123
4743; "change"; 336; 2117; 4; 123
4744; "change"; 338; 637; 3; 122
4745; "change"; 338; 645; 3; 122
4746; "change"; 338; 653; 3; 122
4747; "change"; 338; 661; 3; 122
4748; "change"; 338; 669; 3; 122
4749; "change"; 338; 701; 3; 122
4750; "change"; 338; 733; 3; 122
4751; "change"; 338; 753; 3; 122
4752; "change"; 338; 773; 3; 122
4753; "change"; 338; 791; 3; 122
4754; "change"; 338; 809; 3; 122
4755; "change"; 338; 843; 3; 122
4756; "change"; 338; 877; 3; 122
4757; "change"; 338; 883; 3; 122
4758; "change"; 338; 889; 3; 122
4759; "change"; 338; 895; 3; 122
4760; "change"; 340; 401; 3; 122
4761; "change"; 340; 411; 3; 122
4762; "change"; 340; 699; 3; 122
4763; "change"; 340; 731; 3; 122
4764; "change"; 340; 1539; 3; 122
4765; "change"; 340; 1549; 3; 122
4766; "change"; 342; 405; 2; 121
4767; "change"; 342; 415; 2; 121
4768; "change"; 342; 697; 2; 121
4769; "change"; 342; 729; 2; 121
4770; "change"; 342; 1535; 2; 121
4771; "change"; 342; 1545; 2; 121
4772; "change"; 344; 407; 3; 122
4773; "change"; 344; 417; 3; 122
4774; "change"; 344; 695; 3; 122
4775; "change"; 344; 727; 3; 122
4776; "change"; 344; 1533; 3; 122
4777; "change"; 344; 1543; 3; 122
4778; "change"; 346; 29; 5; 124
4779; "change"; 346; 73; 5; 124
4780; "change"; 346; 87; 5; 124
4781; "change"; 346; 101; 5; 124
4782; "change"; 346; 113; 5; 124
4783; "change"; 346; 125; 5; 124
4784; "change"; 346; 143; 5; 124
4785; "change"; 346; 157; 5; 124
4786; "change"; 346; 165; 5; 124
4787; "change"; 346; 421; 5; 124
4788; "change"; 346; 431; 5; 124
4789; "change"; 346; 493; 5; 124
4790; "change"; 346; 693; 5; 124
4791; "change"; 346; 725; 5; 124
4792; "change"; 346; 1103; 5; 124
4793; "change"; 346; 1129; 5; 124
4794; "change"; 346; 1203; 5; 124
4795; "change"; 346; 1309; 5; 124
4796; "change"; 346; 1325; 5; 124
4797; "change"; 346; 1341; 5; 124
4798; "change"; 346; 1355; 5; 124
4799; "change"; 346; 1531; 5; 124
4800; "change"; 346; 1541; 5; 124
4801; "change"; 346; 1629; 5; 124
4802; "change"; 346; 1655; 5; 124
4803; "change"; 346; 1871; 5; 124
4804; "change"; 346; 2007; 5; 124
4805; "change"; 346; 2017; 5; 124
4806; "change"; 346; 2145; 5; 124
4807; "change"; 346; 2161; 5; 124
4808; "change"; 348; 215; 3; 122
4809; "change"; 348; 233; 3; 122
4810; "change"; 348; 691; 3; 122
4811; "change"; 348; 723; 3; 122
4812; "change"; 348; 1917; 3; 122
4813; "change"; 348; 1935; 3; 122
4814; "change"; 350; 41; 7; 126
4815; "change"; 350; 49; 7; 126
4816; "change"; 350; 57; 7; 126
4817; "change"; 350; 65; 7; 126
4818; "change"; 350; 217; 7; 126
4819; "change"; 350; 235; 7; 126
4820; "change"; 350; 603; 7; 126
4821; "change"; 350; 625; 7; 126
4822; "change"; 350; 643; 7; 126
4823; "change"; 350; 651; 7; 126
4824; "change"; 350; 659; 7; 126
4825; "change"; 350; 667; 7; 126
4826; "change"; 350; 689; 7; 126
4827; "change"; 350; 721; 7; 126
4828; "change"; 350; 1107; 7; 126
4829; "change"; 350; 1133; 7; 126
4830; "change"; 350; 1151; 7; 126
4831; "change"; 350; 1177; 7; 126
4832; "change"; 350; 1215; 7; 126
4833; "change"; 350; 1237; 7; 126
4834; "change"; 350; 1257; 7; 126
4835; "change"; 350; 1441; 7; 126
4836; "change"; 350; 1461; 7; 126
4837; "change"; 350; 1563; 7; 126
4838; "change"; 350; 1585; 7; 126
4839; "change"; 350; 1607; 7; 126
4840; "change"; 350; 1625; 7; 126
4841; "change"; 350; 1651; 7; 126
4842; "change"; 350; 1689; 7; 126
4843; "change"; 350; 1715; 7; 126
4844; "change"; 350; 1915; 7; 126
4845; "change"; 350; 1933; 7; 126
4846; "change"; 350; 1947; 7; 126
4847; "change"; 350; 1949; 7; 126
4848; "change"; 350; 1951; 7; 126
4849; "change"; 350; 1963; 7; 126
4850; "change"; 350; 1975; 7; 126
4851; "change"; 350; 1985; 7; 126
4852; "change"; 350; 1995; 7; 126
4853; "change"; 350; 1997; 7; 126
4854; "change"; 350; 1999; 7; 126
4855; "change"; 350; 2009; 7; 126
4856; "change"; 350; 2019; 7; 126
4857; "change"; 350; 2027; 7; 126
4858; "change"; 350; 2061; 7; 126
4859; "change"; 350; 2095; 7; 126
4860; "change"; 350; 2101; 7; 126
4861; "change"; 350; 2107; 7; 126
4862; "change"; 350; 2113; 7; 126
4863; "change"; 350; 2119; 7; 126
4864; "change"; 350; 2129; 7; 126
4865; "change"; 350; 2139; 7; 126
4866; "change"; 350; 2143; 7; 126
4867; "change"; 350; 2159; 7; 126
4868; "change"; 350; 2175; 7; 126
4869; "change"; 350; 2183; 7; 126
4870; "change"; 350; 2187; 7; 126
4871; "change"; 350; 2191; 7; 126
4872; "change"; 350; 2193; 7; 126
4873; "change"; 350; 2195; 7; 126
4874; "change"; 350; 2197; 7; 126
4875; "change"; 352; 687; 3; 122
4876; "change"; 352; 719; 3; 122
4877; "change"; 352; 1239; 3; 122
4878; "change"; 352; 1259; 3; 122
4879; "change"; 352; 1439; 3; 122
4880; "change"; 352; 1459; 3; 122
4881; "change"; 354; 685; 3; 122
4882; "change"; 354; 717; 3; 122
4883; "change"; 356; 683; 3; 122
4884; "change"; 356; 715; 3; 122
4885; "change"; 356; 1485; 3; 122
4886; "change"; 356; 1511; 3; 122
4887; "change"; 356; 1737; 3; 122
4888; "change"; 356; 1763; 3; 122
4889; "change"; 358; 681; 2; 121
4890; "change"; 358; 713; 2; 121
4891; "change"; 360; 679; 3; 122
4892; "change"; 360; 711; 3; 122
4893; "change"; 362; 677; 2; 121
4894; "change"; 362; 709; 2; 121
4895; "change"; 364; 43; 3; 122
4896; "change"; 364; 51; 3; 122
4897; "change"; 364; 59; 3; 122
4898; "change"; 364; 67; 3; 122
4899; "change"; 364; 641; 3; 122
4900; "change"; 364; 649; 3; 122
4901; "change"; 364; 657; 3; 122
4902; "change"; 364; 665; 3; 122
4903; "change"; 364; 675; 3; 122
4904; "change"; 364; 707; 3; 122
4905; "change"; 364; 815; 3; 122
4906; "change"; 364; 849; 3; 122
4907; "change"; 364; 881; 3; 122
4908; "change"; 364; 887; 3; 122
4909; "change"; 364; 893; 3; 122
4910; "change"; 364; 899; 3; 122
4911; "change"; 364; 947; 3; 122
4912; "change"; 364; 2055; 3; 122
4913; "change"; 364; 2089; 3; 122
4914; "change"; 364; 2097; 3; 122
4915; "change"; 364; 2103; 3; 122
4916; "change"; 364; 2109; 3; 122
4917; "change"; 364; 2115; 3; 122
4918; "change"; 364; 2141; 3; 122
4919; "change"; 366; 673; 2; 121
4920; "change"; 366; 705; 2; 121
4921; "change"; 366; 813; 2; 121
4922; "change"; 366; 847; 2; 121
4923; "change"; 366; 2057; 2; 121
4924; "change"; 366; 2091; 2; 121
4925; "change"; 368; 45; 4; 123
4926; "change"; 368; 53; 4; 123
4927; "change"; 368; 61; 4; 123
4928; "change"; 368; 69; 4; 123
4929; "change"; 368; 639; 4; 123
4930; "change"; 368; 647; 4; 123
4931; "change"; 368; 655; 4; 123
4932; "change"; 368; 663; 4; 123
4933; "change"; 368; 671; 4; 123
4934; "change"; 368; 703; 4; 123
4935; "change"; 368; 811; 4; 123
4936; "change"; 368; 845; 4; 123
4937; "change"; 368; 879; 4; 123
4938; "change"; 368; 885; 4; 123
4939; "change"; 368; 891; 4; 123
4940; "change"; 368; 897; 4; 123
4941; "change"; 368; 2059; 4; 123
4942; "change"; 368; 2093; 4; 123
4943; "change"; 368; 2099; 4; 123
4944; "change"; 368; 2105; 4; 123
4945; "change"; 368; 2111; 4; 123
4946; "change"; 368; 2117; 4; 123
4947; "change"; 370; 637; 3; 122
4948; "change"; 370; 645; 3; 122
4949; "change"; 370; 653; 3; 122
4950; "change"; 370; 661; 3; 122
4951; "change"; 370; 669; 3; 122
4952; "change"; 370; 701; 3; 122
4953; "change"; 370; 733; 3; 122
4954; "change"; 370; 753; 3; 122
4955; "change"; 370; 773; 3; 122
4956; "change"; 370; 791; 3; 122
4957; "change"; 370; 809; 3; 122
4958; "change"; 370; 843; 3; 122
4959; "change"; 370; 877; 3; 122
4960; "change"; 370; 883; 3; 122
4961; "change"; 370; 889; 3; 122
4962; "change"; 370; 895; 3; 122
4963; "change"; 372; 1279; 4; 123
4964; "change"; 372; 1293; 4; 123
4965; "change"; 374; 1277; 3; 122
4966; "change"; 374; 1291; 3; 122
4967; "change"; 376; 1097; 4; 123
4968; "change"; 376; 1123; 4; 123
4969; "change"; 376; 1275; 4; 123
4970; "change"; 376; 1289; 4; 123
4971; "change"; 376; 1299; 4; 123
4972; "change"; 376; 1315; 4; 123
4973; "change"; 376; 1635; 4; 123
4974; "change"; 376; 1661; 4; 123
4975; "change"; 376; 2155; 4; 123
4976; "change"; 376; 2171; 4; 123
4977; "change"; 378; 1273; 2; 121
4978; "change"; 378; 1287; 2; 121
4979; "change"; 380; 1271; 2; 121
4980; "change"; 380; 1285; 2; 121
4981; "change"; 382; 1269; 2; 121
4982; "change"; 382; 1283; 2; 121
4983; "change"; 384; 1267; 3; 122
4984; "change"; 384; 1281; 3; 122
4985; "change"; 386; 1279; 4; 123
4986; "change"; 386; 1293; 4; 123
4987; "change"; 388; 1277; 3; 122
4988; "change"; 388; 1291; 3; 122
4989; "change"; 390; 1097; 4; 123
4990; "change"; 390; 1123; 4; 123
4991; "change"; 390; 1275; 4; 123
4992; "change"; 390; 1289; 4; 123
4993; "change"; 390; 1299; 4; 123
4994; "change"; 390; 1315; 4; 123
4995; "change"; 390; 1635; 4; 123
4996; "change"; 390; 1661; 4; 123
4997; "change"; 390; 2155; 4; 123
4998; "change"; 390; 2171; 4; 123
4999; "change"; 392; 1273; 2; 121
5000; "change"; 392; 1287; 2; 121
5001; "change"; 394; 1271; 2; 121
5002; "change"; 394; 1285; 2; 121
5003; "change"; 396; 1269; 2; 121
5004; "change"; 396; 1283; 2; 121
5005; "change"; 398; 1267; 3; 122
5006; "change"; 398; 1281; 3; 122
5007; "change"; 400; 309; 3; 122
5008; "change"; 400; 341; 3; 122
5009; "change"; 400; 699; 3; 122
5010; "change"; 400; 731; 3; 122
5011; "change"; 400; 1539; 3; 122
5012; "change"; 400; 1549; 3; 122
5013; "change"; 402; 1537; 3; 122
5014; "change"; 402; 1547; 3; 122
5015; "change"; 404; 311; 2; 121
5016; "change"; 404; 343; 2; 121
5017; "change"; 404; 697; 2; 121
5018; "change"; 404; 729; 2; 121
5019; "change"; 404; 1535; 2; 121
5020; "change"; 404; 1545; 2; 121
5021; "change"; 406; 313; 3; 122
5022; "change"; 406; 345; 3; 122
5023; "change"; 406; 695; 3; 122
5024; "change"; 406; 727; 3; 122
5025; "change"; 406; 1533; 3; 122
5026; "change"; 406; 1543; 3; 122
5027; "change"; 408; 29; 5; 124
5028; "change"; 408; 73; 5; 124
5029; "change"; 408; 87; 5; 124
